ID,stat_desc,decis_desc,StatusCleaned
151,Approved (Section S75),approve - subject to section 75,Approved
152,LRB Allowed,approved subject to conditions,Approved
153,Grant Consent,grant,Approved
154,PLRB sustained,application refused,Other
155,Appeal dismissed,application refused,Refused
156,Application Permitted,grant,Approved
157,Pending Decision,approve - subject to section 75,Pending
158,Pending Decision,approved with conditions,Pending
159,Local Review Requested,deemed refusal,Other
160,Temporary Permission,temporary permission,Other
161,Pending - Decision,refuse,Pending
162,Pending Decision,conditional approval/legal agreement,Pending
163,Pending Decision,approved,Pending
164,Pending Decision,application withdrawn,Pending
165,Pending Decision,grant conditionally,Pending
166,Pending Decision,permitted,Pending
167,Pending Decision,refused,Pending
168,Pending decision,application approved,Pending
169,Pending Decision,grant planning permission,Pending
170,Pending Decision,approve the application,Pending
171,Pending Decision,grant subject to conditions,Pending
172,Pending Decision,withdrawn,Pending
173,Insufficient Fee,,Other
174,minded to grant - legal agreement,pending decision,Pending
175,minded to grant planning permission,pending decision,Pending
176,local authority decision,local authority decision,Local Authority Decision
,,,
